,Austria,Belgium,China,France,Germany,Iran,Italy,"Korea, South",Netherlands,Spain,Switzerland,US,United Kingdom
2020-01-22,0,0,548,0,0,0,0,1,0,0,0,1,0
2020-01-23,0,0,643,0,0,0,0,1,0,0,0,1,0
2020-01-24,0,0,920,2,0,0,0,2,0,0,0,2,0
2020-01-25,0,0,1406,3,0,0,0,2,0,0,0,2,0
2020-01-26,0,0,2075,3,0,0,0,3,0,0,0,5,0
2020-01-27,0,0,2877,3,1,0,0,4,0,0,0,5,0
2020-01-28,0,0,5509,4,4,0,0,4,0,0,0,5,0
2020-01-29,0,0,6087,5,4,0,0,4,0,0,0,5,0
2020-01-30,0,0,8141,5,4,0,0,4,0,0,0,5,0
2020-01-31,0,0,9802,5,5,0,2,11,0,0,0,7,2
2020-02-01,0,0,11891,6,8,0,2,12,0,1,0,8,2
2020-02-02,0,0,16630,6,10,0,2,15,0,1,0,8,2
2020-02-03,0,0,19716,6,12,0,2,15,0,1,0,11,2
2020-02-04,0,1,23707,6,12,0,2,16,0,1,0,11,2
2020-02-05,0,1,27440,6,12,0,2,19,0,1,0,11,2
2020-02-06,0,1,30587,6,12,0,2,23,0,1,0,11,2
2020-02-07,0,1,34110,6,13,0,3,24,0,1,0,11,3
2020-02-08,0,1,36814,11,13,0,3,24,0,1,0,11,3
2020-02-09,0,1,39829,11,14,0,3,25,0,2,0,11,3
2020-02-10,0,1,42354,11,14,0,3,27,0,2,0,11,8
2020-02-11,0,1,44386,11,16,0,3,28,0,2,0,12,8
2020-02-12,0,1,44759,11,16,0,3,28,0,2,0,12,9
2020-02-13,0,1,59895,11,16,0,3,28,0,2,0,13,9
2020-02-14,0,1,66358,11,16,0,3,28,0,2,0,13,9
2020-02-15,0,1,68413,12,16,0,3,28,0,2,0,13,9
2020-02-16,0,1,70513,12,16,0,3,29,0,2,0,13,9
2020-02-17,0,1,72434,12,16,0,3,30,0,2,0,13,9
2020-02-18,0,1,74211,12,16,0,3,31,0,2,0,13,9
2020-02-19,0,1,74619,12,16,2,3,31,0,2,0,13,9
2020-02-20,0,1,75077,12,16,5,3,104,0,2,0,13,9
2020-02-21,0,1,75550,12,16,18,20,204,0,2,0,15,9
2020-02-22,0,1,77001,12,16,28,62,433,0,2,0,15,9
2020-02-23,0,1,77022,12,16,43,155,602,0,2,0,15,9
2020-02-24,0,1,77241,12,16,61,229,833,0,2,0,51,13
2020-02-25,2,1,77754,14,17,95,322,977,0,6,1,51,13
2020-02-26,2,1,78166,18,27,139,453,1261,0,13,1,57,13
2020-02-27,3,1,78600,38,46,245,655,1766,1,15,8,58,15
2020-02-28,3,1,78928,57,48,388,888,2337,1,32,8,60,20
2020-02-29,9,1,79356,100,79,593,1128,3150,6,45,18,68,23
2020-03-01,14,2,79932,130,130,978,1694,3736,10,84,27,74,36
2020-03-02,18,8,80136,191,159,1501,2036,4335,18,120,42,98,40
2020-03-03,21,13,80261,204,196,2336,2502,5186,24,165,56,118,51
2020-03-04,29,23,80386,288,262,2922,3089,5621,38,222,90,149,86
2020-03-05,41,50,80537,380,482,3513,3858,6088,82,259,114,217,116
2020-03-06,55,109,80690,656,670,4747,4636,6593,128,400,214,262,164
2020-03-07,79,169,80770,959,799,5823,5883,7041,188,500,268,402,207
2020-03-08,104,200,80823,1136,1040,6566,7375,7314,265,673,337,518,274
2020-03-09,131,239,80860,1219,1176,7161,9172,7478,321,1073,374,583,322
2020-03-10,182,267,80887,1794,1457,8042,10149,7513,382,1695,491,959,384
2020-03-11,246,314,80921,2293,1908,9000,12462,7755,503,2277,652,1281,459
2020-03-12,302,314,80932,2293,2078,10075,12462,7869,503,2277,652,1663,459
2020-03-13,504,559,80945,3681,3675,11364,17660,7979,806,5232,1139,2179,802
2020-03-14,655,689,80977,4496,4585,12729,21157,8086,962,6391,1359,2727,1144
2020-03-15,860,886,81003,4532,5795,13938,24747,8162,1138,7798,2200,3499,1145
2020-03-16,1018,1058,81033,6683,7272,14991,27980,8236,1416,9942,2200,4632,1551
2020-03-17,1332,1243,81058,7715,9257,16169,31506,8320,1711,11748,2700,6421,1960
2020-03-18,1646,1486,81102,9124,12327,17361,35713,8413,2058,13910,3028,7783,2642
2020-03-19,2013,1795,81156,10970,15320,18407,41035,8565,2467,17963,4075,13677,2716
2020-03-20,2388,2257,81250,12758,19848,19644,47021,8652,3003,20410,5294,19100,4014
2020-03-21,2814,2815,81305,14463,22213,20610,53578,8799,3640,25374,6575,25489,5067
2020-03-22,3582,3401,81435,16243,24873,21638,59138,8961,4217,28768,7474,33276,5745
2020-03-23,4474,3743,81498,20123,29056,23049,63927,8961,4764,35136,8795,43847,6726
2020-03-24,5283,4269,81591,22622,32986,24811,69176,9037,5580,39885,9877,53740,8164
2020-03-25,5588,4937,81661,25600,37323,27017,74386,9137,6438,49515,10897,65778,9640
2020-03-26,6909,6235,81782,29551,43938,29406,80589,9241,7468,57786,11811,83836,11812
